persona_item,category,confidence_score_init,confidence_cross_referenced,source_interaction_type,source_object_id,source_timestamp,formatted_timestamp,source_hashtags,assigned_app,interaction_format,relationship_type,related_personas,stereotype_mark,split,over_personalization_irrelevant,over_personalization_irrelevant_category
Deeply invested in hair care and styling routines,hair care and styling,0.9,51.0,explicit_positive,351857,1775425071,"21:37, 04/05/2026","[""#BraidingCommunity"", ""#BraidsByTiara"", ""#CrownBraid"", ""#HairBraiding"", ""#HairInspo"", ""#HairTutorial""]",Instagram,"{""app"": ""Instagram"", ""action"": ""liked"", ""action_label"": ""Liked"", ""user_message"": null}",none,[],neutral,train,,
Follows hairstylists and salon professionals,hair care and styling,0.85,51.0,explicit_positive,351857,1775425071,"21:37, 04/05/2026","[""#BraidingCommunity"", ""#BraidsByTiara"", ""#CrownBraid"", ""#HairBraiding"", ""#HairInspo"", ""#HairTutorial""]",Instagram,"{""app"": ""Instagram"", ""action"": ""liked"", ""action_label"": ""Liked"", ""user_message"": null}",none,[],neutral,train,,
Interested in protective natural hair styles like braids and weaves,hair care and styling,0.8,51.0,explicit_positive,351857,1775425071,"21:37, 04/05/2026","[""#BraidingCommunity"", ""#BraidsByTiara"", ""#CrownBraid"", ""#HairBraiding"", ""#HairInspo"", ""#HairTutorial""]",Instagram,"{""app"": ""Instagram"", ""action"": ""double_tapped"", ""action_label"": ""Double-tapped to like"", ""user_message"": null}",none,[],anti-stereotypical,train,,
Likely wears or appreciates Black hair styling traditions,hair care and styling,0.7,51.0,explicit_positive,351857,1775425071,"21:37, 04/05/2026","[""#BraidingCommunity"", ""#BraidsByTiara"", ""#CrownBraid"", ""#HairBraiding"", ""#HairInspo"", ""#HairTutorial""]",Instagram,"{""app"": ""Instagram"", ""action"": ""liked"", ""action_label"": ""Liked"", ""user_message"": null}",none,[],anti-stereotypical,train,,
Sees hair styling as a form of self-expression,hair care and styling,0.78,51.0,explicit_positive,351857,1775425071,"21:37, 04/05/2026","[""#BraidingCommunity"", ""#BraidsByTiara"", ""#CrownBraid"", ""#HairBraiding"", ""#HairInspo"", ""#HairTutorial""]",Chatbot,"{""app"": ""Chatbot"", ""action"": ""asked_followup"", ""action_label"": ""Asked a follow-up question showing interest"", ""user_message"": null}",none,[],neutral,train,,
Appreciates food content that feels homemade and wholesome,home cooking and food,0.78,66.0,explicit_positive,800862,1775498866,"18:07, 04/06/2026","[""#cookingtutorial"", ""#foodie"", ""#homcooking""]",Chatbot,"{""app"": ""Chatbot"", ""action"": ""asked_followup"", ""action_label"": ""Asked a follow-up question showing interest"", ""user_message"": null}",none,[],neutral,train,,
Enjoys home cooking and preparing family meals,home cooking and food,0.88,66.0,explicit_positive,800862,1775498866,"18:07, 04/06/2026","[""#cookingtutorial"", ""#foodie"", ""#homcooking""]",Facebook,"{""app"": ""Facebook"", ""action"": ""reacted_love"", ""action_label"": ""Loved (❤)"", ""user_message"": null}",none,[],stereotypical,train,,
Has a sweet tooth and enjoys desserts,home cooking and food,0.65,66.0,explicit_positive,800862,1775498866,"18:07, 04/06/2026","[""#cookingtutorial"", ""#foodie"", ""#homcooking""]",Instagram,"{""app"": ""Instagram"", ""action"": ""double_tapped"", ""action_label"": ""Double-tapped to like"", ""user_message"": null}",none,[],neutral,train,,
Seeks easy recipe inspiration online,home cooking and food,0.82,66.0,explicit_positive,800862,1775498866,"18:07, 04/06/2026","[""#cookingtutorial"", ""#foodie"", ""#homcooking""]",Chatbot,"{""app"": ""Chatbot"", ""action"": ""requested_more_detail"", ""action_label"": ""Requested more detail on the same topic"", ""user_message"": ""For the rest of tonight just help me with easy 30-minute weeknight dinners a toddler will eat — Mexican-leaning flavors if possible, nothing that needs fancy appliances.""}",none,[],neutral,train,,
Values cooking as an act of love and family care,home cooking and food,0.76,66.0,explicit_positive,800862,1775498866,"18:07, 04/06/2026","[""#cookingtutorial"", ""#foodie"", ""#homcooking""]",Facebook,"{""app"": ""Facebook"", ""action"": ""reacted_like"", ""action_label"": ""Liked"", ""user_message"": null}",none,[],stereotypical,train,,
Appreciates dad-oriented humor and family interplay,fatherhood and dad culture,0.63,13.0,explicit_positive,187608,1775499610,"18:20, 04/06/2026","[""#DadLife""]",Threads,"{""app"": ""Threads"", ""action"": ""saved"", ""action_label"": ""Saved the thread"", ""user_message"": null}",none,[],neutral,train,,
Enjoys content celebrating involved fatherhood,fatherhood and dad culture,0.6,13.0,explicit_positive,187608,1775499610,"18:20, 04/06/2026","[""#DadLife""]",Facebook,"{""app"": ""Facebook"", ""action"": ""shared_to_group"", ""action_label"": ""Shared to a group"", ""user_message"": null}",none,[],neutral,train,,
Appreciates home decor and interior inspiration,home decor and DIY crafts,0.6,15.0,implicit_positive,512530,1775528364,"02:19, 04/07/2026","[""#DIY"", ""#DIYBFF"", ""#HomeDecor""]",Threads,"{""app"": ""Threads"", ""action"": ""lingered_on_thread"", ""action_label"": ""Stayed on the thread for more than 5 seconds"", ""user_message"": null}",none,[],neutral,train,,
Occasionally interested in DIY and handmade home projects,home decor and DIY crafts,0.53,7.0,implicit_positive,512530,1775528364,"02:19, 04/07/2026","[""#DIY"", ""#DIYBFF"", ""#HomeDecor""]",Instagram,"{""app"": ""Instagram"", ""action"": ""lingered_on_story"", ""action_label"": ""Stayed on a story for more than 5 seconds"", ""user_message"": null}",none,[],neutral,train,,
Believes confidence and positivity are important daily practices,self-care and personal wellness,0.7,46.0,explicit_positive,707030,1775560709,"11:18, 04/07/2026","[""#Motivation"", ""#PersonalGrowth""]",Chatbot,"{""app"": ""Chatbot"", ""action"": ""asked_followup"", ""action_label"": ""Asked a follow-up question showing interest"", ""user_message"": ""Can you draft me a short daily affirmation I can actually say with a straight face before a night shift? Something grounded, not girlboss energy.""}",none,[],neutral,train,,
Invested in self-care routines and self-expression,self-care and personal wellness,0.76,46.0,explicit_positive,707030,1775560709,"11:18, 04/07/2026","[""#Motivation"", ""#PersonalGrowth""]",Instagram,"{""app"": ""Instagram"", ""action"": ""liked"", ""action_label"": ""Liked"", ""user_message"": null}",none,[],neutral,train,,
Looks for motivational and personal-growth content,self-care and personal wellness,0.68,46.0,explicit_positive,707030,1775560709,"11:18, 04/07/2026","[""#Motivation"", ""#PersonalGrowth""]",Chatbot,"{""app"": ""Chatbot"", ""action"": ""edited_prompt_and_retried"", ""action_label"": ""Edited the prompt and retried"", ""user_message"": ""Let me rephrase — find me personal-growth essays written by working moms dealing with real financial stress, not lifestyle influencer takes.""}",none,[],neutral,train,,
Enjoys dance content and casual music videos,dance and dance-music content,0.75,40.0,explicit_positive,144093,1775560953,"11:22, 04/07/2026","[""#countrymusic"", ""#musicpromotion"", ""#newmusic""]",Instagram,"{""app"": ""Instagram"", ""action"": ""double_tapped"", ""action_label"": ""Double-tapped to like"", ""user_message"": null}",none,[],neutral,train,,
"Likely dances at home, at parties, or with family",dance and dance-music content,0.65,40.0,explicit_positive,144093,1775560953,"11:22, 04/07/2026","[""#countrymusic"", ""#musicpromotion"", ""#newmusic""]",Instagram,"{""app"": ""Instagram"", ""action"": ""shared_to_close_friends_story"", ""action_label"": ""Shared to Close Friends story"", ""user_message"": null}",none,[],neutral,train,,
Enjoys aspirational couple imagery and moments,romantic couple relationships,0.76,115.0,explicit_positive,660847,1775561196,"11:26, 04/07/2026","[""#couplelife"", ""#loveinthelittlethings"", ""#relationshipgoals"", ""#skincarelove""]",Instagram,"{""app"": ""Instagram"", ""action"": ""at_ai_feels_off"", ""action_label"": ""@ai reply: told the in-feed assistant this feels off-base"", ""user_message"": ""@ai the couple reels you've been pushing feel off — we're not that kind of couple right now, please pull back on the honeymoon-era content for a while.""}",none,[],neutral,train,,
Finds humor in everyday couple dynamics,romantic couple relationships,0.75,115.0,explicit_positive,660847,1775561196,"11:26, 04/07/2026","[""#couplelife"", ""#loveinthelittlethings"", ""#relationshipgoals"", ""#skincarelove""]",Threads,"{""app"": ""Threads"", ""action"": ""at_ai_recommend_more"", ""action_label"": ""@ai reply: asked the in-feed assistant for MORE like this"", ""user_message"": ""@ai keep bringing these long-suffering-wife-at-midnight takes — they are the funniest part of my week.""}",none,[],neutral,train,,
Invested in romantic relationship content,romantic couple relationships,0.88,115.0,explicit_positive,660847,1775561196,"11:26, 04/07/2026","[""#couplelife"", ""#loveinthelittlethings"", ""#relationshipgoals"", ""#skincarelove""]",Instagram,"{""app"": ""Instagram"", ""action"": ""double_tapped"", ""action_label"": ""Double-tapped to like"", ""user_message"": null}",none,[],neutral,train,,
Values long-term committed partnerships,romantic couple relationships,0.82,115.0,explicit_positive,660847,1775561196,"11:26, 04/07/2026","[""#couplelife"", ""#loveinthelittlethings"", ""#relationshipgoals"", ""#skincarelove""]",Chatbot,"{""app"": ""Chatbot"", ""action"": ""continued_topic"", ""action_label"": ""Continued the conversation on the same topic"", ""user_message"": ""Keep going on what long-haul commitment looks like when one partner is in a really hard stretch. Real-people essays or therapist takes, not self-help cheese.""}",none,[],neutral,train,,
"Active across Instagram Reels, Threads, and similar platforms",viral and trending social content,0.76,68.0,explicit_positive,674520,1775561218,"11:26, 04/07/2026","[""#ComingSoon"", ""#NewEpisode""]",Facebook,"{""app"": ""Facebook"", ""action"": ""reacted_like"", ""action_label"": ""Liked"", ""user_message"": null}",none,[],neutral,train,,
Spends time scrolling trending short-form video content,viral and trending social content,0.8,68.0,explicit_positive,674520,1775561218,"11:26, 04/07/2026","[""#ComingSoon"", ""#NewEpisode""]",Instagram,"{""app"": ""Instagram"", ""action"": ""commented"", ""action_label"": ""Commented"", ""user_message"": null}",none,[],neutral,train,,
Enjoys matching-outfit and 'twinning' content with family,matching outfits and twinning moments,0.6,7.0,explicit_positive,362389,1775561622,"11:33, 04/07/2026","[""#twinning""]",Instagram,"{""app"": ""Instagram"", ""action"": ""liked"", ""action_label"": ""Liked"", ""user_message"": null}",none,[],neutral,train,,
Either runs or supports a small creator/service business,small-business and creator entrepreneurship,0.63,16.0,explicit_positive,746144,1775562010,"11:40, 04/07/2026","[""#Collaboration""]",Facebook,"{""app"": ""Facebook"", ""action"": ""reacted_like"", ""action_label"": ""Liked"", ""user_message"": null}",none,[],neutral,train,,
Follows content with 'book now' appointment calls-to-action,small-business and creator entrepreneurship,0.6,16.0,explicit_positive,746144,1775562010,"11:40, 04/07/2026","[""#Collaboration""]",Instagram,"{""app"": ""Instagram"", ""action"": ""at_ai_recommend_more"", ""action_label"": ""@ai reply: asked the in-feed assistant for MORE like this"", ""user_message"": ""@ai show me more small-business beauty accounts with easy in-caption booking — I'm trying to benchmark how other solo stylists set up their DMs.""}",none,[],neutral,train,,
Engages with content celebrating friendship milestones,friendship and squad dynamics,0.7,27.0,explicit_positive,488900,1775562339,"11:45, 04/07/2026","[""#friendshipgoals"", ""#squadgoals""]",Facebook,"{""app"": ""Facebook"", ""action"": ""reacted_like"", ""action_label"": ""Liked"", ""user_message"": null}",none,[],neutral,train,,
Values close female friendships and squad bonding,friendship and squad dynamics,0.76,27.0,explicit_positive,488900,1775562339,"11:45, 04/07/2026","[""#friendshipgoals"", ""#squadgoals""]",Chatbot,"{""app"": ""Chatbot"", ""action"": ""asked_followup"", ""action_label"": ""Asked a follow-up question showing interest"", ""user_message"": null}",none,[],neutral,train,,
Actively engaged in daily motherhood experiences,motherhood and parenting,0.92,88.0,explicit_positive,562132,1775562389,"11:46, 04/07/2026","[""#DanceMom"", ""#MomLife"", ""#ProtectiveMom""]",Instagram,"{""app"": ""Instagram"", ""action"": ""double_tapped"", ""action_label"": ""Double-tapped to like"", ""user_message"": null}",none,[],stereotypical,train,,
Follows mom-oriented lifestyle content creators,motherhood and parenting,0.85,88.0,explicit_positive,562132,1775562389,"11:46, 04/07/2026","[""#DanceMom"", ""#MomLife"", ""#ProtectiveMom""]",Threads,"{""app"": ""Threads"", ""action"": ""reposted"", ""action_label"": ""Reposted"", ""user_message"": null}",none,[],neutral,train,,
Identifies strongly with a community of mothers online,motherhood and parenting,0.82,88.0,explicit_positive,562132,1775562389,"11:46, 04/07/2026","[""#DanceMom"", ""#MomLife"", ""#ProtectiveMom""]",Threads,"{""app"": ""Threads"", ""action"": ""reposted"", ""action_label"": ""Reposted"", ""user_message"": null}",none,[],neutral,test,Deeply invested in hair care and styling routines,hair care and styling
Parenting young children at home,motherhood and parenting,0.88,88.0,explicit_positive,562132,1775562389,"11:46, 04/07/2026","[""#DanceMom"", ""#MomLife"", ""#ProtectiveMom""]",Instagram,"{""app"": ""Instagram"", ""action"": ""double_tapped"", ""action_label"": ""Double-tapped to like"", ""user_message"": null}",none,[],neutral,train,,
"Values sharing candid, real-life parenting moments",motherhood and parenting,0.78,88.0,explicit_positive,562132,1775562389,"11:46, 04/07/2026","[""#DanceMom"", ""#MomLife"", ""#ProtectiveMom""]",Instagram,"{""app"": ""Instagram"", ""action"": ""double_tapped"", ""action_label"": ""Double-tapped to like"", ""user_message"": null}",none,[],neutral,test,Appreciates food content that feels homemade and wholesome,home cooking and food
Follows niche individual creators by handle,specific creator followings,0.5,3.0,implicit_positive,968564,1775641601,"09:46, 04/08/2026","[""#ItsMarionique""]",Instagram,"{""app"": ""Instagram"", ""action"": ""lingered_on_image"", ""action_label"": ""Stayed on an image for more than 5 seconds"", ""user_message"": null}",none,[],neutral,test,Follows content with 'book now' appointment calls-to-action,small-business and creator entrepreneurship
Aspires to strong family traditions and shared routines,family bonding and togetherness,0.78,41.0,explicit_positive,604072,1775795013,"04:23, 04/10/2026","[""#FamilyFun"", ""#FamilyGoals"", ""#FamilyPhotoshoot""]",Facebook,"{""app"": ""Facebook"", ""action"": ""reacted_love"", ""action_label"": ""Loved (❤)"", ""user_message"": null}",none,[],stereotypical,test,Enjoys home cooking and preparing family meals,home cooking and food
Centers family togetherness as a core value,family bonding and togetherness,0.9,41.0,explicit_positive,604072,1775795013,"04:23, 04/10/2026","[""#FamilyFun"", ""#FamilyGoals"", ""#FamilyPhotoshoot""]",Facebook,"{""app"": ""Facebook"", ""action"": ""reacted_haha"", ""action_label"": ""Hahaha reaction"", ""user_message"": null}",none,[],stereotypical,test,Deeply invested in hair care and styling routines,hair care and styling
Enjoys wholesome family-activity content,family bonding and togetherness,0.82,41.0,explicit_positive,604072,1775795013,"04:23, 04/10/2026","[""#FamilyFun"", ""#FamilyGoals"", ""#FamilyPhotoshoot""]",Facebook,"{""app"": ""Facebook"", ""action"": ""reacted_love"", ""action_label"": ""Loved (❤)"", ""user_message"": null}",none,[],neutral,test,Either runs or supports a small creator/service business,small-business and creator entrepreneurship
Enjoys nostalgic throwback content from earlier eras,nostalgia and throwback memories,0.7,22.0,explicit_positive,451648,1775795716,"04:35, 04/10/2026","[""#nostalgia"", ""#throwback""]",Facebook,"{""app"": ""Facebook"", ""action"": ""reacted_like"", ""action_label"": ""Liked"", ""user_message"": null}",none,[],neutral,test,Enjoys beauty and nail-art content,"beauty, nails, and personal style"
Values memory-keeping and shared cultural references,nostalgia and throwback memories,0.66,22.0,explicit_positive,451648,1775795716,"04:35, 04/10/2026","[""#nostalgia"", ""#throwback""]",Facebook,"{""app"": ""Facebook"", ""action"": ""reacted_love"", ""action_label"": ""Loved (❤)"", ""user_message"": null}",none,[],neutral,test,Values a sense of local community and belonging,community and local belonging
Finds joy in sharing everyday moments of toddlers,babies and young children,0.75,42.0,explicit_positive,674071,1775795890,"04:38, 04/10/2026","[""#kidsofinstagram"", ""#toddlerfashion"", ""#toddlersoftiktok""]",Instagram,"{""app"": ""Instagram"", ""action"": ""saved_to_collection"", ""action_label"": ""Saved to a collection"", ""user_message"": null}",none,[],neutral,test,Likely has a daughter or close maternal-female relationship,mother-daughter relationships
Has or is close to young children and infants,babies and young children,0.86,42.0,explicit_positive,674071,1775795890,"04:38, 04/10/2026","[""#kidsofinstagram"", ""#toddlerfashion"", ""#toddlersoftiktok""]",Instagram,"{""app"": ""Instagram"", ""action"": ""at_ai_recommend_more"", ""action_label"": ""@ai reply: asked the in-feed assistant for MORE like this"", ""user_message"": null}",none,[],neutral,test,Uses humor content as a mood-lifter throughout the day,comedy and humor content
Likely a parent navigating the early-childhood years,babies and young children,0.82,42.0,explicit_positive,674071,1775795890,"04:38, 04/10/2026","[""#kidsofinstagram"", ""#toddlerfashion"", ""#toddlersoftiktok""]",Instagram,"{""app"": ""Instagram"", ""action"": ""commented"", ""action_label"": ""Commented"", ""user_message"": null}",none,[],neutral,test,Occasionally interested in DIY and handmade home projects,home decor and DIY crafts
Likely identifies as a woman and connects with empowerment messaging,women's empowerment,0.85,23.0,explicit_positive,944568,1775796095,"04:41, 04/10/2026","[""#EmpoweredWomenEmpowerWomen"", ""#GirlPower"", ""#WomenSupportingWomen""]",Instagram,"{""app"": ""Instagram"", ""action"": ""liked"", ""action_label"": ""Liked"", ""user_message"": null}",none,[],neutral,test,Looks for relatable everyday parenting stories,parenting and child-rearing
Supports women empowerment themes and female-centric content,women's empowerment,0.8,23.0,explicit_positive,944568,1775796095,"04:41, 04/10/2026","[""#EmpoweredWomenEmpowerWomen"", ""#GirlPower"", ""#WomenSupportingWomen""]",Chatbot,"{""app"": ""Chatbot"", ""action"": ""copied_response"", ""action_label"": ""Copied the response text"", ""user_message"": null}",none,[],neutral,test,Invested in romantic relationship content,romantic couple relationships
Navigating back-to-school routines with school-age children,back-to-school routines,0.57,3.0,explicit_positive,1012890,1775796506,"04:48, 04/10/2026","[""#BackToSchool""]",Facebook,"{""app"": ""Facebook"", ""action"": ""shared_to_timeline"", ""action_label"": ""Shared to own timeline"", ""user_message"": null}",none,[],neutral,test,Responds emotionally to touching or inspirational stories,heartwarming and feel-good content
