persona_item,category,confidence_score_init,source_interaction_type,source_object_id,source_timestamp,formatted_timestamp,source_hashtags,interaction_format,confidence_cross_referenced,relationship_type,related_personas,stereotype_mark,split,distractor_persona_item,distractor_category
Seeks easy recipe inspiration online,home cooking and food,0.77,implicit_positive,201252,1775239904,"18:11, 04/03/2026","[""#asmrfood"", ""#dessertinspiration"", ""#foodart""]",Chatbot (composing chat messages): positive response/comments to weak extent in next turn,1.0,similar,"[{""persona_item"": ""Seeks easy recipe inspiration online"", ""type"": ""similar""}]",neutral,train,,
Appreciates food content that feels homemade and wholesome,home cooking and food,0.73,implicit_positive,201252,1775239904,"18:11, 04/03/2026","[""#asmrfood"", ""#dessertinspiration"", ""#foodart""]",Chatbot (composing chat messages): positive response/comments to weak extent in next turn,1.0,similar,"[{""persona_item"": ""Appreciates food content that feels homemade and wholesome"", ""type"": ""similar""}]",neutral,train,,
Values cooking as an act of love and family care,home cooking and food,0.71,implicit_positive,201252,1775239904,"18:11, 04/03/2026","[""#asmrfood"", ""#dessertinspiration"", ""#foodart""]",Chatbot (composing chat messages): positive response/comments to weak extent in next turn,1.0,similar,"[{""persona_item"": ""Values cooking as an act of love and family care"", ""type"": ""similar""}]",stereotypical,train,,
Has a sweet tooth and enjoys desserts,home cooking and food,0.6,implicit_positive,201252,1775239904,"18:11, 04/03/2026","[""#asmrfood"", ""#dessertinspiration"", ""#foodart""]",Chatbot (composing chat messages): positive response/comments to weak extent in next turn,1.0,similar,"[{""persona_item"": ""Has a sweet tooth and enjoys desserts"", ""type"": ""similar""}]",neutral,train,,
Enjoys dance content and casual music videos,dance and dance-music content,0.68,implicit_positive,1010885,1775239934,"18:12, 04/03/2026","[""#carwashdance"", ""#danceparty""]",Threads: stayed on a thread for more than 5 seconds,1.0,similar,"[{""persona_item"": ""Enjoys dance content and casual music videos"", ""type"": ""similar""}]",neutral,train,,
"Likely dances at home, at parties, or with family",dance and dance-music content,0.58,implicit_positive,1010885,1775239934,"18:12, 04/03/2026","[""#carwashdance"", ""#danceparty""]",Threads: stayed on a thread for more than 5 seconds,1.0,similar,"[{""persona_item"": ""Likely dances at home, at parties, or with family"", ""type"": ""similar""}]",neutral,train,,
Uses humor content as a mood-lifter throughout the day,comedy and humor content,0.85,implicit_positive,1010885,1775239934,"18:12, 04/03/2026","[""#comedygold"", ""#funnyvideos"", ""#standupcomedy""]",Threads: stayed on a thread for more than 5 seconds,1.0,similar,"[{""persona_item"": ""Uses humor content as a mood-lifter throughout the day"", ""type"": ""similar""}]",neutral,train,,
Enjoys short-form comedy reels and viral funny clips,comedy and humor content,0.83,implicit_positive,1010885,1775239934,"18:12, 04/03/2026","[""#comedygold"", ""#funnyvideos"", ""#standupcomedy""]",Threads: stayed on a thread for more than 5 seconds,1.0,similar,"[{""persona_item"": ""Enjoys short-form comedy reels and viral funny clips"", ""type"": ""similar""}]",neutral,train,,
"Appreciates wholesome, light-hearted humor over edgy comedy",comedy and humor content,0.67,implicit_positive,1010885,1775239934,"18:12, 04/03/2026","[""#comedygold"", ""#funnyvideos"", ""#standupcomedy""]",Threads: stayed on a thread for more than 5 seconds,1.0,similar,"[{""persona_item"": ""Appreciates wholesome, light-hearted humor over edgy comedy"", ""type"": ""similar""}]",neutral,train,,
Follows comedy creators and prank content,comedy and humor content,0.65,implicit_positive,1010885,1775239934,"18:12, 04/03/2026","[""#comedygold"", ""#funnyvideos"", ""#standupcomedy""]",Threads: stayed on a thread for more than 5 seconds,1.0,similar,"[{""persona_item"": ""Follows comedy creators and prank content"", ""type"": ""similar""}]",neutral,train,,
Enjoys home cooking and preparing family meals,home cooking and food,0.83,implicit_positive,439053,1775239944,"18:12, 04/03/2026","[""#crabrecipes"", ""#foodblogger"", ""#homemadeitalian"", ""#italianfood"", ""#recipesbyrose"", ""#seafoodlasagna"", ""#shrimprecipes""]",Chatbot (composing chat messages): continued the conversation on the same topic,1.0,similar,"[{""persona_item"": ""Enjoys home cooking and preparing family meals"", ""type"": ""similar""}]",stereotypical,train,,
Seeks easy recipe inspiration online,home cooking and food,0.77,implicit_positive,439053,1775239944,"18:12, 04/03/2026","[""#crabrecipes"", ""#foodblogger"", ""#homemadeitalian"", ""#italianfood"", ""#recipesbyrose"", ""#seafoodlasagna"", ""#shrimprecipes""]",Chatbot (composing chat messages): continued the conversation on the same topic,1.0,similar,"[{""persona_item"": ""Seeks easy recipe inspiration online"", ""type"": ""similar""}]",neutral,train,,
Appreciates food content that feels homemade and wholesome,home cooking and food,0.73,implicit_positive,439053,1775239944,"18:12, 04/03/2026","[""#crabrecipes"", ""#foodblogger"", ""#homemadeitalian"", ""#italianfood"", ""#recipesbyrose"", ""#seafoodlasagna"", ""#shrimprecipes""]",Chatbot (composing chat messages): continued the conversation on the same topic,1.0,similar,"[{""persona_item"": ""Appreciates food content that feels homemade and wholesome"", ""type"": ""similar""}]",neutral,train,,
Values cooking as an act of love and family care,home cooking and food,0.71,implicit_positive,439053,1775239944,"18:12, 04/03/2026","[""#crabrecipes"", ""#foodblogger"", ""#homemadeitalian"", ""#italianfood"", ""#recipesbyrose"", ""#seafoodlasagna"", ""#shrimprecipes""]",Chatbot (composing chat messages): continued the conversation on the same topic,1.0,similar,"[{""persona_item"": ""Values cooking as an act of love and family care"", ""type"": ""similar""}]",stereotypical,train,,
Has a sweet tooth and enjoys desserts,home cooking and food,0.6,implicit_positive,439053,1775239944,"18:12, 04/03/2026","[""#crabrecipes"", ""#foodblogger"", ""#homemadeitalian"", ""#italianfood"", ""#recipesbyrose"", ""#seafoodlasagna"", ""#shrimprecipes""]",Chatbot (composing chat messages): continued the conversation on the same topic,1.0,similar,"[{""persona_item"": ""Has a sweet tooth and enjoys desserts"", ""type"": ""similar""}]",neutral,train,,
Invested in romantic relationship content,romantic couple relationships,0.78,implicit_positive,439053,1775239944,"18:12, 04/03/2026","[""#seafoodlover""]",Chatbot (composing chat messages): continued the conversation on the same topic,1.0,similar,"[{""persona_item"": ""Invested in romantic relationship content"", ""type"": ""similar""}]",neutral,train,,
Values long-term committed partnerships,romantic couple relationships,0.72,implicit_positive,439053,1775239944,"18:12, 04/03/2026","[""#seafoodlover""]",Chatbot (composing chat messages): continued the conversation on the same topic,1.0,similar,"[{""persona_item"": ""Values long-term committed partnerships"", ""type"": ""similar""}]",neutral,train,,
Enjoys aspirational couple imagery and moments,romantic couple relationships,0.66,implicit_positive,439053,1775239944,"18:12, 04/03/2026","[""#seafoodlover""]",Chatbot (composing chat messages): continued the conversation on the same topic,1.0,similar,"[{""persona_item"": ""Enjoys aspirational couple imagery and moments"", ""type"": ""similar""}]",neutral,train,,
Finds humor in everyday couple dynamics,romantic couple relationships,0.65,implicit_positive,439053,1775239944,"18:12, 04/03/2026","[""#seafoodlover""]",Chatbot (composing chat messages): continued the conversation on the same topic,1.0,similar,"[{""persona_item"": ""Finds humor in everyday couple dynamics"", ""type"": ""similar""}]",neutral,train,,
Enjoys nostalgic throwback content from earlier eras,nostalgia and throwback memories,0.62,implicit_positive,405331,1775243159,"19:05, 04/03/2026","[""#ChildhoodUnplugged""]",Instagram: stayed on a story for more than 5 seconds,1.0,similar,"[{""persona_item"": ""Enjoys nostalgic throwback content from earlier eras"", ""type"": ""similar""}]",neutral,train,,
Values memory-keeping and shared cultural references,nostalgia and throwback memories,0.58,implicit_positive,405331,1775243159,"19:05, 04/03/2026","[""#ChildhoodUnplugged""]",Instagram: stayed on a story for more than 5 seconds,1.0,similar,"[{""persona_item"": ""Values memory-keeping and shared cultural references"", ""type"": ""similar""}]",neutral,train,,
Values close female friendships and squad bonding,friendship and squad dynamics,0.68,implicit_positive,405331,1775243159,"19:05, 04/03/2026","[""#FriendshipGoals""]",Instagram: stayed on a story for more than 5 seconds,1.0,similar,"[{""persona_item"": ""Values close female friendships and squad bonding"", ""type"": ""similar""}]",neutral,train,,
Engages with content celebrating friendship milestones,friendship and squad dynamics,0.62,implicit_positive,405331,1775243159,"19:05, 04/03/2026","[""#FriendshipGoals""]",Instagram: stayed on a story for more than 5 seconds,1.0,similar,"[{""persona_item"": ""Engages with content celebrating friendship milestones"", ""type"": ""similar""}]",neutral,train,,
Actively engaged in daily motherhood experiences,motherhood and parenting,0.82,implicit_positive,405331,1775243159,"19:05, 04/03/2026","[""#MomLife""]",Instagram: stayed on a story for more than 5 seconds,1.0,similar,"[{""persona_item"": ""Actively engaged in daily motherhood experiences"", ""type"": ""similar""}]",stereotypical,train,,
Parenting young children at home,motherhood and parenting,0.78,implicit_positive,405331,1775243159,"19:05, 04/03/2026","[""#MomLife""]",Instagram: stayed on a story for more than 5 seconds,1.0,similar,"[{""persona_item"": ""Parenting young children at home"", ""type"": ""similar""}]",neutral,train,,
Follows mom-oriented lifestyle content creators,motherhood and parenting,0.75,implicit_positive,405331,1775243159,"19:05, 04/03/2026","[""#MomLife""]",Instagram: stayed on a story for more than 5 seconds,1.0,similar,"[{""persona_item"": ""Follows mom-oriented lifestyle content creators"", ""type"": ""similar""}]",neutral,train,,
"Values sharing candid, real-life parenting moments",motherhood and parenting,0.68,implicit_positive,405331,1775243159,"19:05, 04/03/2026","[""#MomLife""]",Instagram: stayed on a story for more than 5 seconds,1.0,similar,"[{""persona_item"": ""Values sharing candid, real-life parenting moments"", ""type"": ""similar""}]",neutral,train,,
Identifies strongly with a community of mothers online,motherhood and parenting,0.72,implicit_positive,405331,1775243159,"19:05, 04/03/2026","[""#MomLife""]",Instagram: stayed on a story for more than 5 seconds,1.0,similar,"[{""persona_item"": ""Identifies strongly with a community of mothers online"", ""type"": ""similar""}]",neutral,train,,
Enjoys home cooking and preparing family meals,home cooking and food,0.83,implicit_positive,3891,1775243159,"19:05, 04/03/2026","[""#cookingwithdestiny"", ""#cookware"", ""#foodie"", ""#foodlover"", ""#homcooking"", ""#recipeinspo""]",Facebook: stayed on a post for more than 5 seconds,1.0,similar,"[{""persona_item"": ""Enjoys home cooking and preparing family meals"", ""type"": ""similar""}]",stereotypical,train,,
Seeks easy recipe inspiration online,home cooking and food,0.77,implicit_positive,3891,1775243159,"19:05, 04/03/2026","[""#cookingwithdestiny"", ""#cookware"", ""#foodie"", ""#foodlover"", ""#homcooking"", ""#recipeinspo""]",Facebook: stayed on a post for more than 5 seconds,1.0,similar,"[{""persona_item"": ""Seeks easy recipe inspiration online"", ""type"": ""similar""}]",neutral,train,,
Appreciates food content that feels homemade and wholesome,home cooking and food,0.73,implicit_positive,3891,1775243159,"19:05, 04/03/2026","[""#cookingwithdestiny"", ""#cookware"", ""#foodie"", ""#foodlover"", ""#homcooking"", ""#recipeinspo""]",Facebook: stayed on a post for more than 5 seconds,1.0,similar,"[{""persona_item"": ""Appreciates food content that feels homemade and wholesome"", ""type"": ""similar""}]",neutral,train,,
Values cooking as an act of love and family care,home cooking and food,0.71,implicit_positive,3891,1775243159,"19:05, 04/03/2026","[""#cookingwithdestiny"", ""#cookware"", ""#foodie"", ""#foodlover"", ""#homcooking"", ""#recipeinspo""]",Facebook: stayed on a post for more than 5 seconds,1.0,similar,"[{""persona_item"": ""Values cooking as an act of love and family care"", ""type"": ""similar""}]",stereotypical,train,,
Has a sweet tooth and enjoys desserts,home cooking and food,0.6,implicit_positive,3891,1775243159,"19:05, 04/03/2026","[""#cookingwithdestiny"", ""#cookware"", ""#foodie"", ""#foodlover"", ""#homcooking"", ""#recipeinspo""]",Facebook: stayed on a post for more than 5 seconds,1.0,similar,"[{""persona_item"": ""Has a sweet tooth and enjoys desserts"", ""type"": ""similar""}]",neutral,train,,
Enjoys home cooking and preparing family meals,home cooking and food,0.83,implicit_positive,836494,1775243176,"19:06, 04/03/2026","[""#cookingwithlove"", ""#dinnerinspiration"", ""#easydinnerideas"", ""#foodie"", ""#homemade""]",Facebook: viewed more than 75% of the video,1.0,similar,"[{""persona_item"": ""Enjoys home cooking and preparing family meals"", ""type"": ""similar""}]",stereotypical,train,,
Seeks easy recipe inspiration online,home cooking and food,0.77,implicit_positive,836494,1775243176,"19:06, 04/03/2026","[""#cookingwithlove"", ""#dinnerinspiration"", ""#easydinnerideas"", ""#foodie"", ""#homemade""]",Facebook: viewed more than 75% of the video,1.0,similar,"[{""persona_item"": ""Seeks easy recipe inspiration online"", ""type"": ""similar""}]",neutral,train,,
Appreciates food content that feels homemade and wholesome,home cooking and food,0.73,implicit_positive,836494,1775243176,"19:06, 04/03/2026","[""#cookingwithlove"", ""#dinnerinspiration"", ""#easydinnerideas"", ""#foodie"", ""#homemade""]",Facebook: viewed more than 75% of the video,1.0,similar,"[{""persona_item"": ""Appreciates food content that feels homemade and wholesome"", ""type"": ""similar""}]",neutral,train,,
Values cooking as an act of love and family care,home cooking and food,0.71,implicit_positive,836494,1775243176,"19:06, 04/03/2026","[""#cookingwithlove"", ""#dinnerinspiration"", ""#easydinnerideas"", ""#foodie"", ""#homemade""]",Facebook: viewed more than 75% of the video,1.0,similar,"[{""persona_item"": ""Values cooking as an act of love and family care"", ""type"": ""similar""}]",stereotypical,train,,
Has a sweet tooth and enjoys desserts,home cooking and food,0.6,implicit_positive,836494,1775243176,"19:06, 04/03/2026","[""#cookingwithlove"", ""#dinnerinspiration"", ""#easydinnerideas"", ""#foodie"", ""#homemade""]",Facebook: viewed more than 75% of the video,1.0,similar,"[{""persona_item"": ""Has a sweet tooth and enjoys desserts"", ""type"": ""similar""}]",neutral,train,,
Actively engaged in daily motherhood experiences,motherhood and parenting,0.82,implicit_positive,836494,1775243176,"19:06, 04/03/2026","[""#momlife""]",Facebook: viewed more than 75% of the video,1.0,similar,"[{""persona_item"": ""Actively engaged in daily motherhood experiences"", ""type"": ""similar""}]",stereotypical,train,,
Parenting young children at home,motherhood and parenting,0.78,implicit_positive,836494,1775243176,"19:06, 04/03/2026","[""#momlife""]",Facebook: viewed more than 75% of the video,1.0,similar,"[{""persona_item"": ""Parenting young children at home"", ""type"": ""similar""}]",neutral,train,,
Follows mom-oriented lifestyle content creators,motherhood and parenting,0.75,implicit_positive,836494,1775243176,"19:06, 04/03/2026","[""#momlife""]",Facebook: viewed more than 75% of the video,1.0,similar,"[{""persona_item"": ""Follows mom-oriented lifestyle content creators"", ""type"": ""similar""}]",neutral,train,,
"Values sharing candid, real-life parenting moments",motherhood and parenting,0.68,implicit_positive,836494,1775243176,"19:06, 04/03/2026","[""#momlife""]",Facebook: viewed more than 75% of the video,1.0,similar,"[{""persona_item"": ""Values sharing candid, real-life parenting moments"", ""type"": ""similar""}]",neutral,train,,
Identifies strongly with a community of mothers online,motherhood and parenting,0.72,implicit_positive,836494,1775243176,"19:06, 04/03/2026","[""#momlife""]",Facebook: viewed more than 75% of the video,1.0,similar,"[{""persona_item"": ""Identifies strongly with a community of mothers online"", ""type"": ""similar""}]",neutral,train,,
Values close female friendships and squad bonding,friendship and squad dynamics,0.68,implicit_positive,797115,1775246631,"20:03, 04/03/2026","[""#ecofriendly""]",Facebook: stayed on an image for more than 5 seconds,1.0,similar,"[{""persona_item"": ""Values close female friendships and squad bonding"", ""type"": ""similar""}]",neutral,train,,
Engages with content celebrating friendship milestones,friendship and squad dynamics,0.62,implicit_positive,797115,1775246631,"20:03, 04/03/2026","[""#ecofriendly""]",Facebook: stayed on an image for more than 5 seconds,1.0,similar,"[{""persona_item"": ""Engages with content celebrating friendship milestones"", ""type"": ""similar""}]",neutral,train,,
Invested in romantic relationship content,romantic couple relationships,0.78,implicit_positive,797115,1775246631,"20:03, 04/03/2026","[""#naturelovers""]",Facebook: stayed on an image for more than 5 seconds,1.0,similar,"[{""persona_item"": ""Invested in romantic relationship content"", ""type"": ""similar""}]",neutral,train,,
Values long-term committed partnerships,romantic couple relationships,0.72,implicit_positive,797115,1775246631,"20:03, 04/03/2026","[""#naturelovers""]",Facebook: stayed on an image for more than 5 seconds,1.0,similar,"[{""persona_item"": ""Values long-term committed partnerships"", ""type"": ""similar""}]",neutral,train,,
Enjoys aspirational couple imagery and moments,romantic couple relationships,0.66,implicit_positive,797115,1775246631,"20:03, 04/03/2026","[""#naturelovers""]",Facebook: stayed on an image for more than 5 seconds,1.0,similar,"[{""persona_item"": ""Enjoys aspirational couple imagery and moments"", ""type"": ""similar""}]",neutral,train,,
Finds humor in everyday couple dynamics,romantic couple relationships,0.65,implicit_positive,797115,1775246631,"20:03, 04/03/2026","[""#naturelovers""]",Facebook: stayed on an image for more than 5 seconds,1.0,similar,"[{""persona_item"": ""Finds humor in everyday couple dynamics"", ""type"": ""similar""}]",neutral,train,,
Uses humor content as a mood-lifter throughout the day,comedy and humor content,0.8,implicit_positive,797115,1775246631,"20:03, 04/03/2026","[""#comedy""]",Facebook: stayed on an image for more than 5 seconds,1.0,similar,"[{""persona_item"": ""Uses humor content as a mood-lifter throughout the day"", ""type"": ""similar""}]",neutral,train,,
Enjoys short-form comedy reels and viral funny clips,comedy and humor content,0.78,implicit_positive,797115,1775246631,"20:03, 04/03/2026","[""#comedy""]",Facebook: stayed on an image for more than 5 seconds,1.0,similar,"[{""persona_item"": ""Enjoys short-form comedy reels and viral funny clips"", ""type"": ""similar""}]",neutral,train,,
"Appreciates wholesome, light-hearted humor over edgy comedy",comedy and humor content,0.62,implicit_positive,797115,1775246631,"20:03, 04/03/2026","[""#comedy""]",Facebook: stayed on an image for more than 5 seconds,1.0,similar,"[{""persona_item"": ""Appreciates wholesome, light-hearted humor over edgy comedy"", ""type"": ""similar""}]",neutral,train,,
Follows comedy creators and prank content,comedy and humor content,0.6,implicit_positive,797115,1775246631,"20:03, 04/03/2026","[""#comedy""]",Facebook: stayed on an image for more than 5 seconds,1.0,similar,"[{""persona_item"": ""Follows comedy creators and prank content"", ""type"": ""similar""}]",neutral,train,,
Actively engaged in daily motherhood experiences,motherhood and parenting,0.82,implicit_positive,697975,1775246643,"20:04, 04/03/2026","[""#everydaymoments""]",Facebook: stayed on an image for more than 5 seconds,1.0,similar,"[{""persona_item"": ""Actively engaged in daily motherhood experiences"", ""type"": ""similar""}]",stereotypical,train,,
Parenting young children at home,motherhood and parenting,0.78,implicit_positive,697975,1775246643,"20:04, 04/03/2026","[""#everydaymoments""]",Facebook: stayed on an image for more than 5 seconds,1.0,similar,"[{""persona_item"": ""Parenting young children at home"", ""type"": ""similar""}]",neutral,train,,
Follows mom-oriented lifestyle content creators,motherhood and parenting,0.75,implicit_positive,697975,1775246643,"20:04, 04/03/2026","[""#everydaymoments""]",Facebook: stayed on an image for more than 5 seconds,1.0,similar,"[{""persona_item"": ""Follows mom-oriented lifestyle content creators"", ""type"": ""similar""}]",neutral,train,,
